Quan 1, The Soho, inuse
Quan 2, Masteri Thao Dien, inuse
Quan 2, Metropole ThuThiem, clear
Quan 2, Lumiere Riverside Thao Dien, inuse
Quan 4, The Tresor, clear
Quan 4, Millenium, inuse
Quan 4, The Goldview, inuse
Quan 4, ICON56, inuse
Quan 4, River Gate, clear
Quan 4, Grand Riverside, inuse
Quan 7, Sunrise City, inuse
Quan 7, Scenic Valley, inuse
Quan 7, Midtown the Peak, clear
Quan 7, Eco Green, inuse
Quan 9, Vinhomes Grand Park, inuse
Quan Binh Thanh, Vinhomes Central Park, inuse
Quan Thu Thiem, Opera Metropole, clear
Huyen Ngu Hanh Son, Bill, clear
